capcode,discipline,locatie/divisie,beschrijving
1171799,BRW,Uden,Monitorcode
1171800,BRW,Veghel,Bevelvoerder van Dienst
1171801,BRW,Veghel,Ploeg A
1171802,BRW,Veghel,Ploeg B
1171803,BRW,Veghel,Ploeg C
1171805,BRW,Veghel,Postalarm
1171821,BRW,Veghel,Bezetting HW Ploeg A
1171822,BRW,Veghel,Bezetting HW Ploeg B
1171823,BRW,Veghel,Bezetting HW Ploeg C
1171831,BRW,Veghel,Bezetting HA Ploeg A
1171832,BRW,Veghel,Bezetting HA Ploeg B
1171833,BRW,Veghel,Bezetting HA Ploeg C
1171841,BRW,Veghel,Verkenningseenheid IBGS
1171847,BRW,Veghel,Infocode/Proefalarm
1171848,BRW,Veghel,Noodalarmering
1171849,BRW,Veghel,Monitorcode
1171850,BRW,Vierlingsbeek,Bevelvoerder van Dienst
1171855,BRW,Vierlingsbeek,Postalarm
1171897,BRW,Vierlingsbeek,Infocode/Proefalarm
1171898,BRW,Vierlingsbeek,Noodalarmering
1171899,BRW,Vierlingsbeek,Monitorcode
1171900,BRW,Erp,Bevelvoerder van Dienst
1171905,BRW,Erp,Postalarm
1171925,BRW,Erp,Hand Crew
1171945,BRW,Erp,Postalarm Verzorgingsploeg
1171947,BRW,Erp,Infocode/Proefalarm
1171948,BRW,Erp,Noodalarmering
1171949,BRW,Erp,Monitorcode
1171950,BRW,Vught,Bevelvoerder van Dienst
1171951,BRW,Vught,Ploeg A
1171952,BRW,Vught,Ploeg B
1171955,BRW,Vught,Postalarm
1171971,BRW,Vught,Bezetting LIH Ploeg A
1171972,BRW,Vught,Bezetting LIH Ploeg B
1171981,BRW,Vught,Bezetting HA Ploeg A
1171982,BRW,Vught,Bezetting HA Ploeg B
1171985,BRW,Vught,Postalarm HA
1171991,BRW,Vught,Verkenningseenheid IBGS
1171997,BRW,Vught,Infocode/Proefalarm
1171998,BRW,Vught,Noodalarmering
1171999,BRW,Vught,Monitorcode
1172000,BRW,Vlijmen,Bevelvoerder van Dienst
1172001,BRW,Vlijmen,Ploeg A
1172002,BRW,Vlijmen,Ploeg B
1172005,BRW,Vlijmen,Postalarm
1172031,BRW,Vlijmen,Bezetting HV Ploeg A
1172032,BRW,Vlijmen,Bezetting HV Ploeg B
1172035,BRW,Vlijmen,Postalarm HV
1172041,BRW,Vlijmen,Verkenningseenheid
1172047,BRW,Vlijmen,Infocode/Proefalarm
1172048,BRW,Vlijmen,Noodalarmering
1172049,BRW,Vlijmen,Monitorcode
1172050,BRW,Drunen,Bevelvoerder van Dienst
1172055,BRW,Drunen,Postalarm
1172060,BRW,Drunen,Postalarm Bezetting DAT
1172097,BRW,Drunen,Infocode/Proefalarm
1172098,BRW,Drunen,Noodalarmering
1172099,BRW,Drunen,Monitorcode
1172100,BRW,Heusden,Bevelvoerder van Dienst
1172105,BRW,Heusden,Postalarm
1172135,BRW,Heusden,Oppervlaktewater Redteam
1172147,BRW,Heusden,Infocode
1172148,BRW,Heusden,Noodalarmering
1172149,BRW,Heusden,Monitorcode
1172150,BRW,Cromvoirt,Bevelvoerder van Dienst
1172155,BRW,Cromvoirt,Postalarm
1172197,BRW,Cromvoirt,Infocode/Proefalarm
1172198,BRW,Cromvoirt,Noodalarmering
1172199,BRW,Cromvoirt,Monitorcode
1180000,BRW,GMK,5 Minuten TESTOPROEP HOOFDSYSTEEM MKOB DEN BOSCH
